"name","types","number","percent"
"colorspace","SYM→BUILTIN",5,0.000293946812088034
"colorspace","LANG→BUILTIN",3,0.00017636808725282
"colorspace","BCODE→CPLX",2,0.000117578724835213
"copula","BCODE→STR",369123,23.9859874937537
"copula","BCODE→ENV",174429,11.3345736043215
"copula","LGL→LGL",129223,8.39704180423689
"copula","BCODE→CLOS",115086,7.47840518392552
"copula","BCODE→LGL",97669,6.34663083180249
"copula","STR→STR",84106,5.46529331455815
"copula","LANG→NA",82989,5.39270951991376
"copula","INT→INT",59282,3.85220457843241
"copula","BCODE→NA",52532,3.41358272180782
"copula","BCODE→REAL",43619,2.83440692801598
"copula","REAL→REAL",40961,2.66168738802959
"copula","LANG→REAL",38235,2.48454913896905
"copula","LANG→INT",38189,2.48156001224242
"copula","NIL→NIL",34934,2.27004680582568
"copula","BCODE→VEC",27901,1.81303532173076
"copula","LANG→ENV",23130,1.50301089536692
"copula","LANG→CLOS",19145,1.24406154741892
"copula","LANG→LANG",19096,1.24087747764491
"copula","BCODE→INT",16129,1.04807880377748
"copula","REAL→NA",13424,0.87230515604866
"copula","LGL→NA",11120,0.722588895654135
"copula","SYM→NA",10718,0.696466527304048
"copula","STR→NA",8627,0.56059122327412
"copula","LANG→STR",5172,0.336081813698128
"copula","LANG→S4",4092,0.265902316638194
"copula","PROM→NA",3242,0.210668453211394
"copula","BCODE→LANG",3111,0.202155940142087
"copula","BCODE→BUILTIN",3035,0.197217382941574
"copula","BCODE→S4",2171,0.141073785293626
"copula","BCODE→NIL",1893,0.123009062902273
"copula","BCODE→SYM",830,0.0539342431108752
"copula","PROM→STR",815,0.0529595278739316
"copula","LANG→VEC",711,0.0462015022311232
"copula","CLOS→CLOS",493,0.0320356407875439
"copula","SYM→CLOS",476,0.0309309635190079
"copula","SYM→STR",445,0.0289165520293246
"copula","PROM→REAL",356,0.0231332416234597
"copula","NIL→NA",311,0.0202090959126291
"copula","LANG→SYM",202,0.0131261651908395
"copula","LANG→LGL",201,0.0130611841750433
"copula","SYM→REAL",168,0.0109168106537675
"copula","PROM→INT",138,0.00896738017988045
"copula","PROM→LGL",132,0.00857749408510304
"copula","VEC→NA",131,0.0085125130693068
"copula","LANG→NIL",122,0.00792768392714069
"copula","SYM→INT",111,0.0072128927533821
"copula","SYM→ENV",106,0.00688798767440092
"copula","ENV→ENV",105,0.00682300665860469
"copula","SYM→VEC",81,0.00526346227949505
"copula","VEC→VEC",74,0.0048085951689214
"copula","BCODE→LIST",70,0.00454867110573646
"copula","SYM→SYM",70,0.00454867110573646
"copula","BCODE→EXPR",67,0.00435372805834775
"copula","SYM→LGL",62,0.00402882297936658
"copula","BCODE→SPECIAL",47,0.00305410774242305
"copula","PROM→LANG",47,0.00305410774242305
"copula","PROM→NIL",47,0.00305410774242305
"copula","SYM→LANG",39,0.00253425961605317
"copula","INT→NA",36,0.00233931656866446
"copula","PROM→CLOS",15,0.000974715236943527
"copula","SYM→S4",8,0.000519848126369881
"copula","BCODE→BCODE",7,0.000454867110573646
"copula","LANG→BUILTIN",1,6.49810157962351e-05
"copula","PROM→EXPR",1,6.49810157962351e-05
"copula","PROM→SYM",1,6.49810157962351e-05
"copula","PROM→VEC",1,6.49810157962351e-05
"copula","SYM→EXPR",1,6.49810157962351e-05
"dplyr","BCODE→STR",145011,12.4433868844638
"dplyr","BCODE→ENV",107007,9.18226548569291
"dplyr","LGL→LGL",83926,7.20168599392809
"dplyr","BCODE→CLOS",66392,5.69709430342056
"dplyr","BCODE→VEC",50481,4.33177216428144
"dplyr","NIL→NIL",49569,4.25351348846628
"dplyr","BCODE→NA",43988,3.77460814885624
"dplyr","SYM→STR",40553,3.47985096527615
"dplyr","LANG→ENV",37284,3.19933823365363
"dplyr","BCODE→LGL",35195,3.02008124486213
"dplyr","SYM→VEC",33901,2.90904316755423
"dplyr","LANG→NA",31551,2.70738978140773
"dplyr","SYM→ENV",31513,2.70412900324876
"dplyr","STR→STR",28678,2.46085779059969
"dplyr","REAL→REAL",27610,2.36921276234247
"dplyr","BCODE→LANG",27609,2.36912695239092
"dplyr","SYM→NA",27421,2.3529946814992
"dplyr","INT→INT",22832,1.95921281382845
"dplyr","BCODE→INT",21696,1.86173270886571
"dplyr","SYM→NIL",20523,1.76107763569557
"dplyr","LANG→STR",20367,1.7476912832535
"dplyr","STR→NA",17926,1.5382291915158
"dplyr","CLOS→CLOS",15402,1.3216448737993
"dplyr","BCODE→SYM",14875,1.27642302933156
"dplyr","BCODE→REAL",14514,1.24544563682139
"dplyr","LGL→NA",14455,1.24038284967984
"dplyr","LANG→INT",13846,1.18812458918486
"dplyr","SYM→LANG",12536,1.07571355265213
"dplyr","PROM→VEC",10670,0.915592183056653
"dplyr","LANG→SYM",9601,0.823861344847885
"dplyr","LANG→LANG",9270,0.795458250884272
"dplyr","LANG→LGL",9142,0.784474577085654
"dplyr","LANG→CLOS",8176,0.70158216388671
"dplyr","ENV→ENV",7817,0.670776391279649
"dplyr","SYM→CLOS",7505,0.644003686395519
